symbol,iap,iav
5386,0,0
5287,0,0
5285,0,0
7421,0,0
5284,0,0
7931,0,0
5599,0,0
4255,0,0
9366,0,0
5277,0,0
5268,0,0
3878,0,0
3300,0,0
5218,0,0
5184,0,0
1994,0,0
5078,0,0
5015,0,0
4992,0,0
4966,0,0
4189,0,0
4438,0,0
4926,0,0
4925,0,0
4784,0,0
6578,0,0
4783,0,0
4777,0,0
4771,0,0
4762,0,0
9404,0,0
4761,0,0
4750,0,0
4745,0,0
4668,0,0
4720,0,0
3370,0,0
4716,0,0
4712,0,0
4707,0,0
4705,0,0
2337,0,0
6218,0,0
4891,0,0
4690,0,0
6777,0,0
3246,0,0
4678,0,0
4667,0,0
6402,0,0
6919,0,0
4664,0,0
4651,0,0
4628,0,0
4620,0,0
3997,0,0
4558,0,0
5199,0,0
8524,0,0
6526,0,0
4464,0,0
7715,0,0
4406,0,0
2892,0,0
4398,0,0
1801,0,0
4367,0,0
4365,0,0
7723,0,0
9246,0,0
4350,0,0
4347,0,0
5480,0,0
3563,0,0
4293,0,0
4287,0,0
4284,0,0
7819,0,0
4247,0,0
7956,0,0
4238,0,0
1514,0,0
9241,0,0
8098,0,0
6448,0,0
4173,0,0
4198,0,0
2692,0,0
4493,0,0
4107,0,0
5367,0,0
4012,0,0
4286,0,0
3969,0,0
4080,0,0
3955,0,0
3951,0,0
8029,0,0
3947,0,0
3944,0,0
3943,0,0
4936,0,0
8944,0,0
3895,0,0
3892,0,0
4337,0,0
3857,0,0
7057,0,0
3856,0,0
1438,0,0
7185,0,0
7041,0,0
3847,0,0
3799,0,0
3779,0,0
8518,0,0
3823,0,0
3770,0,0
7420,0,0
3750,0,0
3744,0,0
6850,0,0
3719,0,0
4553,0,0
8104,0,0
3691,0,0
6268,0,0
3607,0,0
8439,0,0
2154,0,0
3598,0,0
3562,0,0
2425,0,0
3553,0,0
3547,0,0
8035,0,0
4816,0,0
8802,0,0
3069,0,0
2780,0,0
3738,0,0
3513,0,0
3512,0,0
3494,0,0
3467,0,0
3449,0,0
3440,0,0
6257,0,0
3439,0,0
8007,0,0
3421,0,0
3420,0,0
3417,0,0
3758,0,0
7043,0,0
1723,0,0
3798,0,0
3045,0,0
5820,0,0
4679,0,0
3322,0,0
3321,0,0
4565,0,0
3297,0,0
3275,0,0
3271,0,0
4008,0,0
6963,0,0
4016,0,0
5028,0,0
3222,0,0
3189,0,0
3181,0,0
2673,0,0
3177,0,0
7811,0,0
3173,0,0
6794,0,0
1980,0,0
3168,0,0
4769,0,0
5380,0,0
3094,0,0
3082,0,0
3077,0,0
3058,0,0
3023,0,0
4476,0,0
5254,0,0
3020,0,0
4927,0,0
2932,0,0
2926,0,0
6226,0,0
7734,0,0
2923,0,0
2877,0,0
2876,0,0
2830,0,0
2795,0,0
2790,0,0
2789,0,0
2782,0,0
3656,0,0
2762,0,0
4746,0,0
3347,0,0
6579,0,0
2778,0,0
7850,0,0
2669,0,0
2668,0,0
2666,0,0
3426,0,0
1973,0,0
2654,0,0
261A,0,0
4124,0,0
254A,0,0
7565,0,0
7550,0,0
7367,0,0
2459,0,0
2435,0,0
4441,0,0
2418,0,0
3908,0,0
5079,0,0
2415,0,0
3465,0,0
147A,0,0
2764,0,0
8207,0,0
3979,0,0
2375,0,0
3151,0,0
2984,0,0
9236,0,0
2340,0,0
2338,0,0
8032,0,0
3901,0,0
2993,0,0
2300,0,0
2293,0,0
146A,0,0
4175,0,0
2268,0,0
3133,0,0
6037,0,0
9367,0,0
4059,0,0
2185,0,0
2169,0,0
3921,0,0
3180,0,0
2162,0,0
2152,0,0
2139,0,0
2136,0,0
3918,0,0
2134,0,0
3067,0,0
2003,0,0
2687,0,0
1965,0,0
3096,0,0
5659,0,0
9788,0,0
1921,0,0
2754,0,0
4809,0,0
1914,0,0
1904,0,0
1866,0,0
3030,0,0
3489,0,0
1848,0,0
9070,0,0
1847,0,0
4665,0,0
6982,0,0
4979,0,0
7114,0,0
1828,0,0
3673,0,0
8173,0,0
7173,0,0
2493,0,0
2315,0,0
7192,0,0
4838,0,0
1822,0,0
1810,0,0
1799,0,0
1787,0,0
1776,0,0
1770,0,0
4812,0,0
3059,0,0
2820,0,0
3205,0,0
1711,0,0
1491,0,0
206A,0,0
1443,0,0
1383,0,0
1381,0,0
9989,0,0
9983,0,0
9974,0,0
1803,0,0
8255,0,0
9563,0,0
5892,0,0
2391,0,0
9932,0,0
8708,0,0
7760,0,0
9900,0,0
9889,0,0
3529,0,0
6588,0,0
3175,0,0
9880,0,0
9845,0,0
9861,0,0
5461,0,0
9831,0,0
9830,0,0
3984,0,0
5261,0,0
7932,0,0
9793,0,0
7189,0,0
9766,0,0
6046,0,0
9757,0,0
9755,0,0
7575,0,0
7990,0,0
2120,0,0
3306,0,0
2924,0,0
4274,0,0
9746,0,0
9759,0,0
9722,0,0
7184,0,0
9719,0,0
3284,0,0
1885,0,0
9697,0,0
4196,0,0
9682,0,0
3538,0,0
9672,0,0
7139,0,0
2411,0,0
150A,0,0
9644,0,0
3825,0,0
9627,0,0
2991,0,0
4506,0,0
3551,0,0
7570,0,0
2487,0,0
9616,0,0
7354,0,0
9613,0,0
9706,0,0
9605,0,0
9535,0,0
3326,0,0
4623,0,0
9338,0,0
4351,0,0
5957,0,0
7379,0,0
9468,0,0
9449,0,0
4499,0,0
9435,0,0
94346,0,0
4487,0,0
9433,0,0
2694,0,0
9418,0,0
3407,0,0
9409,0,0
5010,0,0
5445,0,0
9381,0,0
9790,0,0
9336,0,0
9307,0,0
9278,0,0
9273,0,0
6674,0,0
9107,0,0
9303,0,0
9202,0,0
9201,0,0
9143,0,0
9160,0,0
9119,0,0
9104,0,0
9101,0,0
9090,0,0
9075,0,0
4929,0,0
9072,0,0
3920,0,0
5570,0,0
9069,0,0
9068,0,0
9769,0,0
145A,0,0
9066,0,0
9065,0,0
9936,0,0
